ParticipantID,StatementID,Rating,RatingType
1,1,2,Importance
1,2,2,Importance
1,3,2,Importance
1,4,2,Importance
1,5,2,Importance
1,6,2,Importance
1,7,2,Importance
1,8,2,Importance
1,9,2,Importance
1,10,2,Importance
1,11,2,Importance
1,12,2,Importance
1,13,2,Importance
1,14,2,Importance
1,15,2,Importance
1,16,2,Importance
1,17,2,Importance
1,18,2,Importance
1,19,2,Importance
1,20,2,Importance
1,21,2,Importance
1,22,2,Importance
1,23,2,Importance
1,24,2,Importance
1,25,2,Importance
1,26,2,Importance
1,27,2,Importance
1,28,2,Importance
1,29,2,Importance
1,30,2,Importance
1,31,2,Importance
1,32,2,Importance
1,33,2,Importance
1,34,2,Importance
1,35,2,Importance
1,36,2,Importance
1,37,2,Importance
1,38,2,Importance
1,39,2,Importance
1,40,2,Importance
1,41,2,Importance
1,42,2,Importance
1,43,2,Importance
1,44,2,Importance
1,45,2,Importance
1,46,2,Importance
1,47,2,Importance
1,48,2,Importance
1,49,2,Importance
1,50,2,Importance
1,51,2,Importance
1,52,2,Importance
1,53,2,Importance
1,54,2,Importance
1,55,2,Importance
1,56,2,Importance
1,57,2,Importance
1,58,2,Importance
1,59,2,Importance
1,60,2,Importance
1,61,2,Importance
1,62,2,Importance
1,63,2,Importance
1,64,2,Importance
1,65,2,Importance
1,66,2,Importance
1,67,2,Importance
1,68,2,Importance
1,69,2,Importance
1,70,2,Importance
1,71,2,Importance
1,72,2,Importance
1,73,2,Importance
1,74,2,Importance
1,75,2,Importance
1,76,2,Importance
1,77,2,Importance
1,78,2,Importance
1,79,2,Importance
1,80,2,Importance
1,81,2,Importance
1,82,2,Importance
1,83,2,Importance
1,84,2,Importance
1,85,2,Importance
1,86,2,Importance
1,87,2,Importance
1,88,2,Importance
1,89,2,Importance
1,90,2,Importance
1,91,2,Importance
1,92,2,Importance
1,93,2,Importance
1,94,2,Importance
1,95,2,Importance
1,96,2,Importance
1,97,2,Importance
1,98,2,Importance
1,99,2,Importance
1,100,2,Importance
2,1,4,Importance
2,2,3,Importance
2,3,3,Importance
2,4,4,Importance
2,5,3,Importance
2,6,2,Importance
2,7,3,Importance
2,8,4,Importance
2,9,4,Importance
2,10,2,Importance
2,11,4,Importance
2,12,2,Importance
2,13,3,Importance
2,14,2,Importance
2,15,4,Importance
2,16,4,Importance
2,17,3,Importance
2,18,4,Importance
2,19,3,Importance
2,20,2,Importance
2,21,2,Importance
2,22,3,Importance
2,23,3,Importance
2,24,4,Importance
2,25,3,Importance
2,26,3,Importance
2,27,4,Importance
2,28,2,Importance
2,29,1,Importance
2,30,4,Importance
2,31,3,Importance
2,32,3,Importance
2,33,3,Importance
2,34,3,Importance
2,35,3,Importance
2,36,3,Importance
2,37,4,Importance
2,38,3,Importance
2,39,3,Importance
2,40,3,Importance
2,41,3,Importance
2,42,4,Importance
2,43,3,Importance
2,44,4,Importance
2,45,4,Importance
2,46,2,Importance
2,47,3,Importance
2,48,4,Importance
2,49,4,Importance
2,50,3,Importance
2,51,3,Importance
2,52,3,Importance
2,53,4,Importance
2,54,4,Importance
2,55,3,Importance
2,56,2,Importance
2,57,3,Importance
2,58,3,Importance
2,59,4,Importance
2,60,2,Importance
2,61,1,Importance
2,62,2,Importance
2,63,4,Importance
2,64,3,Importance
2,65,2,Importance
2,66,4,Importance
2,67,3,Importance
2,68,3,Importance
2,69,4,Importance
2,70,4,Importance
2,71,3,Importance
2,72,3,Importance
2,73,3,Importance
2,74,2,Importance
2,75,3,Importance
2,76,4,Importance
2,77,2,Importance
2,78,4,Importance
2,79,5,Importance
2,80,3,Importance
2,81,4,Importance
2,82,4,Importance
2,83,2,Importance
2,84,4,Importance
2,85,3,Importance
2,86,3,Importance
2,87,1,Importance
2,88,4,Importance
2,89,5,Importance
2,90,3,Importance
2,91,3,Importance
2,92,4,Importance
2,93,3,Importance
2,94,4,Importance
2,95,2,Importance
2,96,3,Importance
2,97,3,Importance
2,98,4,Importance
2,99,3,Importance
2,100,4,Importance
3,1,4,Importance
3,2,2,Importance
3,3,5,Importance
3,4,4,Importance
3,5,5,Importance
3,6,4,Importance
3,7,3,Importance
3,8,5,Importance
3,9,5,Importance
3,10,2,Importance
3,11,5,Importance
3,12,2,Importance
3,13,4,Importance
3,14,4,Importance
3,15,5,Importance
3,16,5,Importance
3,17,2,Importance
3,18,4,Importance
3,19,3,Importance
3,20,2,Importance
3,21,4,Importance
3,22,3,Importance
3,23,5,Importance
3,24,5,Importance
3,25,2,Importance
3,26,1,Importance
3,27,4,Importance
3,28,1,Importance
3,29,2,Importance
3,30,5,Importance
3,31,2,Importance
3,32,3,Importance
3,33,3,Importance
3,34,2,Importance
3,35,4,Importance
3,36,1,Importance
3,37,2,Importance
3,38,3,Importance
3,39,5,Importance
3,40,1,Importance
3,41,4,Importance
3,42,5,Importance
3,43,3,Importance
3,44,5,Importance
3,45,1,Importance
3,46,4,Importance
3,47,2,Importance
3,48,2,Importance
3,49,3,Importance
3,50,4,Importance
3,51,2,Importance
3,52,2,Importance
3,53,5,Importance
3,54,4,Importance
3,55,5,Importance
3,56,3,Importance
3,57,3,Importance
3,58,4,Importance
3,59,5,Importance
3,60,5,Importance
3,61,2,Importance
3,62,2,Importance
3,63,3,Importance
3,64,5,Importance
3,65,2,Importance
3,66,1,Importance
3,67,1,Importance
3,68,3,Importance
3,69,5,Importance
3,70,5,Importance
3,71,2,Importance
3,72,5,Importance
3,73,4,Importance
3,74,2,Importance
3,75,1,Importance
3,76,4,Importance
3,77,2,Importance
3,78,4,Importance
3,79,4,Importance
3,80,5,Importance
3,81,5,Importance
3,82,3,Importance
3,83,2,Importance
3,84,4,Importance
3,85,5,Importance
3,86,4,Importance
3,87,2,Importance
3,88,5,Importance
3,89,5,Importance
3,90,5,Importance
3,91,4,Importance
3,92,2,Importance
3,93,1,Importance
3,94,5,Importance
3,95,1,Importance
3,96,2,Importance
3,97,5,Importance
3,98,5,Importance
3,99,1,Importance
3,100,5,Importance
4,1,5,Importance
4,2,5,Importance
4,3,5,Importance
4,4,4,Importance
4,5,4,Importance
4,6,3,Importance
4,7,4,Importance
4,8,4,Importance
4,9,4,Importance
4,10,2,Importance
4,11,4,Importance
4,12,5,Importance
4,13,5,Importance
4,14,3,Importance
4,15,4,Importance
4,16,4,Importance
4,17,3,Importance
4,18,5,Importance
4,19,4,Importance
4,20,4,Importance
4,21,4,Importance
4,22,4,Importance
4,23,5,Importance
4,24,3,Importance
4,25,5,Importance
4,26,2,Importance
4,27,4,Importance
4,28,3,Importance
4,29,2,Importance
4,30,4,Importance
4,31,4,Importance
4,32,2,Importance
4,33,4,Importance
4,34,3,Importance
4,35,2,Importance
4,36,4,Importance
4,37,4,Importance
4,38,5,Importance
4,39,5,Importance
4,40,5,Importance
4,41,4,Importance
4,42,4,Importance
4,43,3,Importance
4,44,3,Importance
4,45,3,Importance
4,46,2,Importance
4,47,3,Importance
4,48,3,Importance
4,49,4,Importance
4,50,5,Importance
4,51,3,Importance
4,52,2,Importance
4,53,4,Importance
4,54,2,Importance
4,55,3,Importance
4,56,3,Importance
4,57,5,Importance
4,58,4,Importance
4,59,4,Importance
4,60,3,Importance
4,61,3,Importance
4,62,4,Importance
4,63,4,Importance
4,64,3,Importance
4,65,4,Importance
4,66,4,Importance
4,67,3,Importance
4,68,2,Importance
