StatementID,StatementText
1,Q1_1
2,Q1_2
3,Q1_3
4,Q1_4
5,Q1_5
6,Q1_6
7,Q1_7
8,Q1_8
9,Q1_9
10,Q1_10
11,Q1_11
12,Q1_12
13,Q1_13
14,Q1_14
15,Q1_15
16,Q1_16
17,Q1_17
18,Q1_18
19,Q1_19
20,Q1_20
21,Q1_21
22,Q1_22
23,Q1_23
24,Q1_24
25,Q1_25
26,Q1_26
27,Q1_27
28,Q1_28
29,Q1_29
30,Q1_30
31,Q1_31
32,Q1_32
33,Q1_33
34,Q1_34
35,Q1_35
36,Q1_36
37,Q1_37
38,Q1_38
39,Q1_39
40,Q1_40
41,Q1_41
42,Q1_42
43,Q1_43
44,Q1_44
45,Q1_45
46,Q1_46
47,Q1_47
48,Q1_48
49,Q1_49
50,Q1_50
51,Q1_51
52,Q1_52
53,Q1_53
54,Q1_54
55,Q1_55
56,Q1_56
57,Q1_57
58,Q1_58
59,Q1_59
60,Q1_60
61,Q1_61
62,Q1_62
63,Q1_63
64,Q1_64
65,Q1_65
66,Q1_66
67,Q1_67
68,Q1_68
69,Q1_69
70,Q1_70
71,Q1_71
72,Q1_72
73,Q1_73
74,Q1_74
75,Q1_75
76,Q1_76
77,Q1_77
78,Q1_78
79,Q1_79
80,Q1_80
81,Q1_81
82,Q1_82
83,Q1_83
84,Q1_84
85,Q1_85
86,Q1_86
87,Q1_87
88,Q1_88
89,Q1_89
90,Q1_90
91,Q1_91
92,Q1_92
93,Q1_93
94,Q1_94
95,Q1_95
96,Q1_96
97,Q1_97
98,Q1_98
99,Q1_99
100,Q1_100
