StatementID,Statement (abridged),Cluster,Metric,CI,g,q (BH)
5,Statement 5,1,Importance,"[nan, nan]",0.000,—
25,Statement 25,1,Importance,"[nan, nan]",0.000,—
69,Statement 69,2,Importance,"[nan, nan]",0.000,—
11,Statement 11,2,Feasibility,"[nan, nan]",0.000,—
14,Statement 14,1,Importance,"[nan, nan]",0.000,—
17,Statement 17,2,Importance,"[nan, nan]",0.000,—
72,Statement 72,2,Importance,"[nan, nan]",0.000,—
34,Statement 34,2,Feasibility,"[nan, nan]",0.000,—
90,Statement 90,2,Feasibility,"[nan, nan]",0.000,—
57,Statement 57,2,Importance,"[nan, nan]",0.000,—
50,Statement 50,2,Importance,"[nan, nan]",0.000,—
64,Statement 64,2,Feasibility,"[nan, nan]",0.000,—
32,Statement 32,1,Feasibility,"[nan, nan]",0.000,—
79,Statement 79,2,Feasibility,"[nan, nan]",0.000,—
37,Statement 37,1,Feasibility,"[nan, nan]",0.000,—
48,Statement 48,1,Feasibility,"[nan, nan]",0.000,—
85,Statement 85,1,Feasibility,"[nan, nan]",0.000,—
37,Statement 37,1,Importance,"[nan, nan]",0.000,—
16,Statement 16,1,Importance,"[nan, nan]",0.000,—
55,Statement 55,1,Importance,"[nan, nan]",0.000,—
