Cluster,StatementID,Statement,Importance_Mean,Feasibility_Mean
1,1,Statement 1,4.25,3.4166666666666665
1,2,Statement 2,3.75,3.25
1,3,Statement 3,4.083333333333333,3.1666666666666665
1,5,Statement 5,3.3333333333333335,2.727272727272727
1,7,Statement 7,3.3333333333333335,3.25
1,9,Statement 9,4.0,3.5833333333333335
1,10,Statement 10,3.0833333333333335,2.75
1,12,Statement 12,3.3333333333333335,3.3333333333333335
1,13,Statement 13,3.0,3.0
1,14,Statement 14,3.3333333333333335,2.8333333333333335
1,16,Statement 16,3.1666666666666665,3.0
1,19,Statement 19,3.5,3.4166666666666665
1,20,Statement 20,3.1666666666666665,2.75
1,21,Statement 21,2.8333333333333335,3.5833333333333335
1,25,Statement 25,3.0,3.0833333333333335
1,26,Statement 26,2.4166666666666665,2.25
1,28,Statement 28,2.8333333333333335,3.25
1,29,Statement 29,2.9166666666666665,2.5833333333333335
1,32,Statement 32,2.8333333333333335,2.25
1,33,Statement 33,2.5833333333333335,2.5
1,35,Statement 35,3.0,3.090909090909091
1,36,Statement 36,3.0833333333333335,3.0833333333333335
1,37,Statement 37,3.1666666666666665,4.181818181818182
1,38,Statement 38,3.75,3.1666666666666665
1,39,Statement 39,3.8333333333333335,3.5833333333333335
1,40,Statement 40,3.4166666666666665,3.0
1,43,Statement 43,3.5,3.6666666666666665
1,45,Statement 45,2.9166666666666665,3.25
1,46,Statement 46,3.5833333333333335,2.8333333333333335
1,47,Statement 47,2.5833333333333335,2.5833333333333335
1,48,Statement 48,3.0833333333333335,2.8333333333333335
1,49,Statement 49,3.3333333333333335,2.75
1,52,Statement 52,2.75,2.6666666666666665
1,54,Statement 54,3.1666666666666665,3.0
1,55,Statement 55,3.1666666666666665,2.8333333333333335
1,56,Statement 56,3.1666666666666665,3.25
1,60,Statement 60,3.0833333333333335,2.9166666666666665
1,61,Statement 61,2.1666666666666665,2.5833333333333335
1,63,Statement 63,3.4166666666666665,2.5
1,65,Statement 65,2.9166666666666665,2.9166666666666665
1,66,Statement 66,3.25,3.1666666666666665
1,67,Statement 67,3.0833333333333335,2.5
1,68,Statement 68,3.1666666666666665,4.083333333333333
1,71,Statement 71,2.6666666666666665,2.75
1,73,Statement 73,3.5,3.4166666666666665
1,74,Statement 74,2.8333333333333335,3.4166666666666665
1,75,Statement 75,3.3333333333333335,2.8333333333333335
1,77,Statement 77,2.3333333333333335,2.5
1,78,Statement 78,2.75,2.5
1,81,Statement 81,3.0833333333333335,2.75
1,82,Statement 82,3.3333333333333335,3.0
1,83,Statement 83,2.75,2.4166666666666665
1,85,Statement 85,3.5,3.1666666666666665
1,86,Statement 86,3.1666666666666665,3.25
1,87,Statement 87,2.1666666666666665,3.0833333333333335
1,88,Statement 88,3.4166666666666665,3.3333333333333335
1,91,Statement 91,2.9166666666666665,2.4166666666666665
1,93,Statement 93,3.0,2.9166666666666665
1,94,Statement 94,3.9166666666666665,2.9166666666666665
1,95,Statement 95,2.8333333333333335,2.9166666666666665
1,96,Statement 96,3.0,2.8333333333333335
1,99,Statement 99,2.75,2.4166666666666665
2,4,Statement 4,3.5833333333333335,4.166666666666667
2,6,Statement 6,3.1666666666666665,3.1666666666666665
2,8,Statement 8,4.0,3.3333333333333335
2,11,Statement 11,3.5833333333333335,3.75
2,15,Statement 15,3.4166666666666665,3.4166666666666665
2,17,Statement 17,3.3333333333333335,2.9166666666666665
2,18,Statement 18,3.75,3.6666666666666665
2,22,Statement 22,3.25,3.5833333333333335
2,23,Statement 23,3.75,4.0
2,24,Statement 24,3.3333333333333335,3.25
2,27,Statement 27,3.25,3.5454545454545454
2,30,Statement 30,3.8333333333333335,3.6666666666666665
2,31,Statement 31,3.1666666666666665,2.75
2,34,Statement 34,2.9166666666666665,3.5
2,41,Statement 41,3.0833333333333335,3.4166666666666665
2,42,Statement 42,3.6666666666666665,3.5833333333333335
2,44,Statement 44,3.5833333333333335,3.75
2,50,Statement 50,3.6666666666666665,4.333333333333333
2,51,Statement 51,3.25,4.166666666666667
2,53,Statement 53,3.5833333333333335,3.75
2,57,Statement 57,3.4166666666666665,4.25
2,58,Statement 58,3.5833333333333335,3.5
2,59,Statement 59,3.9166666666666665,3.5833333333333335
2,62,Statement 62,2.9166666666666665,3.5833333333333335
2,64,Statement 64,3.5833333333333335,3.3333333333333335
2,69,Statement 69,3.9166666666666665,4.166666666666667
2,70,Statement 70,3.4166666666666665,3.6666666666666665
2,72,Statement 72,3.5,3.8333333333333335
2,76,Statement 76,3.6666666666666665,3.6666666666666665
2,79,Statement 79,3.5833333333333335,3.25
2,80,Statement 80,3.5,3.5833333333333335
2,84,Statement 84,3.727272727272727,4.083333333333333
2,89,Statement 89,4.166666666666667,4.0
2,90,Statement 90,3.0833333333333335,3.4166666666666665
2,92,Statement 92,3.1666666666666665,2.8333333333333335
2,97,Statement 97,3.0,3.3333333333333335
2,98,Statement 98,3.8333333333333335,3.5833333333333335
2,100,Statement 100,4.0,4.083333333333333
